name,uid,old_name,duplicate of,needs invert,original uid,category,noun,preposition,who,what,where,when,which,lens,context,examples,terminology,source row,needs review,notes,source file,last modified,last modified by,created by,legacy uid,trash,created,name history,record_id,Analysis,Analysis 2
freedom to be with family members | in the hospital,rec8ZV69SYyEGgfZZ,Ability to accompany family members in hospitals,,,,power,freedom,to,,be with family members,in the hospital,,,governmental/political, | in the hospital,,,12,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,UYR7cs6KgYEZLx,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to be with family members | in the hospital

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to accompany family members in hospitals",rec8ZV69SYyEGgfZZ,,
ability to learn curriculum,recIlf1lK0gPyGDTp,Ability to adequately learn curriculum,,,,power,ability,to,,learn curriculum,,,,individual/human,,,,13,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,ukb2ok8srQ4nFX,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to learn curriculum

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to adequately learn curriculum",recIlf1lK0gPyGDTp,,
access to health insurance,recM3GVugGad2Q7Ns,Ability to afford health insurance,,,,resource,access,to,,health insurance,,,,financial,,,,14,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,y2CWxQOmPkeRz0,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to health insurance

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to afford health insurance",recM3GVugGad2Q7Ns,,
access to work from home equipment,recJy0u7Vvt6rMdpB,Ability to afford work-related equipment needed to work from home,,,,resource,access,to,,work from home equipment,,,,financial,,,,15,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,vxWvavDFIJaXb9,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to work from home equipment

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to afford work-related equipment needed to work from home",recJy0u7Vvt6rMdpB,,
level of academic performance,rec5oP3J1LazyvSa9,Ability to attain high grades,,,,state,level,of,,academic performance,,,,individual/human,,,,16,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,RnL4MBTmbQTCWH,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
level of academic performance

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to attain high grades",rec5oP3J1LazyvSa9,,
freedom to avoid uncomfortable topics,recKmry6bnMTQDtVH,Ability to avoid uncomfortable topics,,,,power,freedom,to,,avoid uncomfortable topics,,,,cultural,,,,17,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,wlnz9LvYv81dHf,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to avoid uncomfortable topics

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to avoid uncomfortable topics",recKmry6bnMTQDtVH,,
capacity to pay attention,recaEOgTfHrwD5kfu,Ability to be attentive in learning,capacity to concentrate,,recADN4Hldyb9UZVx,power,capacity,to,,pay attention,,,,individual/human,,,,18,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,WDKhWPPD8Vt412,,9/27/2022 6:25pm,,recaEOgTfHrwD5kfu,,
strength of creativity,rec4vrepLpMJx4ajB,Ability to be creative,,,,state,strength,of,,creativity,,,,individual/human,,,,19,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,QunfslxYlPsU59,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
strength of creativity

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to be creative",rec4vrepLpMJx4ajB,,
capacity to break into smaller group conversations,rec9Fu67Twb9NiGPC,Ability to break into smaller group conversations,,,,power,capacity,to,,break into smaller group conversations,,,,social,,,,20,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,VEq7atEnL5GqBa,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to break into smaller group conversations

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to break into smaller group conversations",rec9Fu67Twb9NiGPC,,
ability to be a caregiver,recGT2W4iqVEPwzsH,Ability to caregive for others,,,,power,ability,to,,be a caregiver,,,,individual/human,,,,21,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,sSYX7Sy7g7Ujef,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to be a caregiver

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to caregive for others",recGT2W4iqVEPwzsH,,
"access to celebrations, rituals, and festivities",recY1vNam1hxABrvi,"Ability to celebrate life events, practice rituals, and enjoy festivities",,,,resource,access,to,,"celebrations, rituals, and festivities",,,,cultural,,,,22,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,K0rOdW9t9SZbhQ,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to celebrations, rituals, and festivities

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to celebrate life events, practice rituals, and enjoy festivities",recY1vNam1hxABrvi,,
ability to prepare parents to support students' learning,reckUFMvoiSpHxFDM,Ability to coach parents on how to respond to kids' reactions while learning,,,,power,ability,to,,prepare parents to support students' learning,,,,individual/human,,,,23,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,6TBNyYq41ZVppk,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to prepare parents to support students' learning

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to coach parents on how to respond to kids' reactions while learning",reckUFMvoiSpHxFDM,,
ability to communicate online,recRCJYv5RnENNpA5,Ability to communicate effectively over online messaging tools,,,,power,ability,to,,communicate online,,,,individual/human,,,,24,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,DBFZyFZzg5b9mD,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to communicate online

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to communicate effectively over online messaging tools",recRCJYv5RnENNpA5,,
independence in completing assignments,rec3rpzrqnHy0IfSk,Ability to complete assignments independently,,,,power,independence,in,,completing assignments,,,,individual/human,,,,25,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,PqlAu0vTai6ZES,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
independence in completing assignments

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to complete assignments independently",rec3rpzrqnHy0IfSk,,
ability to complete educational degree,recbYyU4xjre7rTaA,Ability to complete educational degree,,,,power,ability,to,,complete educational degree,,,,individual/human,,,,26,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,XXuV77rDQpPDW8,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to complete educational degree

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to complete educational degree",recbYyU4xjre7rTaA,,
capacity to concentrate,recADN4Hldyb9UZVx,Ability to concentrate,,,,power,capacity,to,,concentrate,,,,individual/human,,,,27,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,mCJ5KVlKNriJH5,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to concentrate

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to concentrate",recADN4Hldyb9UZVx,,
capacity to coordinate schedule with coworkers,recN3bhHogqQslUPA,Ability to coordinate schedules with coworkers,,,,power,capacity,to,,coordinate schedule with coworkers,,,,social,,,,28,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,z27iKYoCsKJEB8,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to coordinate schedule with coworkers

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to coordinate schedules with coworkers",recN3bhHogqQslUPA,,
ability to delegate work,reciiG5DektjqRWaS,Ability to delegate work effectively,,,,power,ability,to,,delegate work,,,,individual/human,,,,29,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,4hC6GOsFVIfGWq,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to delegate work

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to delegate work effectively",reciiG5DektjqRWaS,,
capacity to perform acts of service for loved ones,recoq047MrnM5sbh1,Ability to do acts of service for loved ones,,,,power,capacity,to,,perform acts of service for loved ones,,,,social,,,,30,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,apW5amzzonQV3z,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to perform acts of service for loved ones

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to do acts of service for loved ones",recoq047MrnM5sbh1,,
capacity to perform home renovations | during the week,recNiRDBSF98IGJvn,Ability to do home renovations during the week,,,,power,capacity,to,,perform home renovations,,during the week,,manufactured, | during the week,,,31,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,zhNEEsNlK04thV,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to perform home renovations | during the week

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to do home renovations during the week",recNiRDBSF98IGJvn,,
access to livable wage | during the COVID-19 pandemic,reclYsjyirJYO8NVo,Ability to earn a livable wage during pandemic,,,,resource,access,to,,livable wage,,during the COVID-19 pandemic,,financial, | during the COVID-19 pandemic,,,32,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,7XokBSzVA6wxHW,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to livable wage | during the COVID-19 pandemic

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to earn a livable wage during pandemic",reclYsjyirJYO8NVo,,
capacity to eat dinner late,recRZLj0cZhJJO2tF,Ability to eat dinner late,,,,power,capacity,to,,eat dinner late,,,,individual/human,,,,33,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,DYHk3M7tl1cMfd,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to eat dinner late

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to eat dinner late",recRZLj0cZhJJO2tF,,
capacity to exercise | at home,recrDXsmv1X1VYeON,Ability to exercise at home,,,,power,capacity,to,,exercise,at home,,,individual/human, | at home,,,34,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,dCTtp599DdmYAl,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to exercise | at home

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to exercise at home",recrDXsmv1X1VYeON,,
access to employment | during the COVID-19 pandemic,recxGwXvsZkWjKrcE,Ability to find employment during pandemic,,,,resource,access,to,,employment,,during the COVID-19 pandemic,,social, | during the COVID-19 pandemic,,,35,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,jFsYy27wyB8bYc,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to employment | during the COVID-19 pandemic

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to find employment during pandemic",recxGwXvsZkWjKrcE,,
access to videoconferencing,rec9KUyIts7Wnl7RA,Ability to join video calls,,,,resource,access,to,,videoconferencing,,,,digital,,,,36,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,VJQzL3AjyFJRD8,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
access to videoconferencing

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to join video calls",rec9KUyIts7Wnl7RA,,
freedom to pursue recreational activities | indoors,reczL5CkWtDgqjGQH,Ability to participate in indoor activities,,,,power,freedom,to,,pursue recreational activities,indoors,,,individual/human, | indoors,,,37,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,lK1DnwBPSIHqCf,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to pursue recreational activities | indoors

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to participate in indoor activities",reczL5CkWtDgqjGQH,,
freedom to socialize | indoors,recRNmXs0yf5abKpb,Ability to participate in indoor social events ,,,,power,freedom,to,,socialize,indoors,,,social, | indoors,,,38,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,DMiYvAGrHszubJ,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to socialize | indoors

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to participate in indoor social events ",recRNmXs0yf5abKpb,,
freedom to pursue recreational activities | outdoors,rec5SKlivAvhxdSUD,Ability to participate in outdoor activities,,,,power,freedom,to,,pursue recreational activities,outdoors,,,individual/human, | outdoors,,,39,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,RRGml5IHTPBCGb,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to pursue recreational activities | outdoors

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to participate in outdoor activities",rec5SKlivAvhxdSUD,,
,recZQGMeyNhNsH36d,Ability to participate in outdoor events,freedom to socialize | outdoors,,recVMjFuZiLQ8QiPy,,,,,,,,,social,,,,40,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,LPCNh8VtpK5NSL,,9/27/2022 6:25pm,,recZQGMeyNhNsH36d,,
freedom to socialize | outdoors,recVMjFuZiLQ8QiPy,Ability to participate in outdoor social events,,,,power,freedom,to,,socialize,outdoors,,,individual/human, | outdoors,,,41,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,HLfGxzqXsqe2B6,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to socialize | outdoors

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to participate in outdoor social events",recVMjFuZiLQ8QiPy,,
ability to interpret facial expressions,recqdoPRqxwce5WqY,Ability to read facial expressions of others,,,,power,ability,to,,interpret facial expressions,,,,social,,,,42,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,cckQU0FIOwtGcw,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
ability to interpret facial expressions

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to read facial expressions of others",recqdoPRqxwce5WqY,,
independence in running errands | during quarantine,recwC7TBnh47L4GpU,Ability to run errands independently during quarantine ,,,,power,independence,in,,running errands,,during quarantine,,individual/human, | during quarantine,,,43,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,iB3UEXpgJ3sqbs,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
independence in running errands | during quarantine

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to run errands independently during quarantine ",recwC7TBnh47L4GpU,,
capacity to sleep,rec9zusrkGG82fDfN,Ability to sleep,,,,power,capacity,to,,sleep,,,,individual/human,,,,44,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,VyqtuUOSKkDn1l,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to sleep

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to sleep",rec9zusrkGG82fDfN,,
capacity to sleep | in the morning,recNabmbYWjVh8RaB,Ability to sleep in the morning,,,,power,capacity,to,,sleep,,in the morning,,individual/human, | in the morning,,,45,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,z97ney4vxzwBW9,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to sleep | in the morning

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to sleep in the morning",recNabmbYWjVh8RaB,,
freedom to speak openly,recjGLvdc7WYbS8lT,Ability to talk freely,,,,power,freedom,to,,speak openly,,,,cultural,,,,46,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,5FHwgMf8AtgS7r,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
freedom to speak openly

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to talk freely",recjGLvdc7WYbS8lT,,
capacity to work | during the COVID-19 pandemic,rec6DSH3ulcZNmCM7,Ability to work during pandemic,access to employment | during the COVID-19 pandemic,,recxGwXvsZkWjKrcE,power,capacity,to,,work,,during the COVID-19 pandemic,,social, | during the COVID-19 pandemic,,,47,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,SCOI64toB5KmyF,,9/27/2022 6:25pm,,rec6DSH3ulcZNmCM7,,
capacity to work from home,rec47Pb7p01fQi534,Ability to work from home,,,,power,capacity,to,,work from home,,,,social,,,,48,,,RN_POLYU_Master Transcript Data_kumu,2/28/2023 1:30pm,L Fahn-Lai,L Fahn-Lai,Q6LcaZ8dR8GPPC,,9/27/2022 6:25pm,"2022-12-15T16:51:13.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
capacity to work from home

2022-09-27T22:25:00.000Z Philip Fahn-Lai usrUrcoRcQq4ccfL2
Ability to work from home",rec47Pb7p01fQi534,,
